iter	RMSE
0	21651.0709
1	20658.03939
2	19706.21122
3	18805.30528
4	17952.99087
5	17148.45139
6	16383.89846
7	15664.28528
8	14984.59076
9	14348.49432
10	13744.55431
11	13171.32528
12	12633.07392
13	12124.87204
14	11647.64928
15	11199.66719
16	10776.58069
17	10379.10506
18	10006.52826
19	9654.185616
20	9326.342046
21	9020.770579
22	8732.623651
23	8464.658741
24	8213.572381
25	7980.041473
26	7763.854739
27	7561.52202
28	7366.066577
29	7190.627841
30	7025.842294
31	6876.948225
32	6734.385028
33	6596.121487
34	6474.345304
35	6363.623798
36	6261.526902
37	6158.922847
38	6068.770227
39	5979.893941
40	5904.184807
41	5834.673181
42	5764.117402
43	5704.074303
44	5649.532907
45	5597.509681
46	5548.494201
47	5502.667306
48	5461.211441
49	5422.600523
50	5382.669659
51	5350.802355
52	5320.331498
53	5290.024007
54	5262.021449
55	5237.297848
56	5213.569608
57	5192.293928
58	5172.920348
59	5149.595183
60	5132.42241
61	5116.400862
62	5097.759081
63	5078.521847
64	5065.484247
65	5051.180365
66	5031.130078
67	5014.889555
68	4999.2889
69	4983.496498
70	4974.503388
71	4964.412508
72	4950.911757
73	4942.397702
74	4934.795848
75	4923.829929
76	4915.773649
77	4908.964827
78	4901.878638
79	4896.240723
80	4887.098841
81	4879.281622
82	4869.232791
83	4863.216112
84	4852.925765
85	4848.257353
86	4842.892714
87	4837.884754
88	4831.848866
89	4825.341758
90	4819.849534
91	4815.21835
92	4807.295276
93	4803.137315
94	4799.092663
95	4795.961347
96	4790.842205
97	4785.554834
98	4782.349659
99	4779.764882
100	4774.975805
101	4771.631767
102	4767.843469
103	4763.507662
104	4758.2986
105	4753.688124
106	4750.611543
107	4747.079385
108	4744.859083
109	4742.093376
110	4739.524577
111	4737.876307
112	4736.032904
113	4732.69832
114	4729.441931
115	4725.389634
116	4722.46076
117	4718.065026
118	4712.23279
119	4710.582404
120	4705.876349
121	4700.665031
122	4695.27386
123	4690.884695
124	4686.252883
125	4682.163939
126	4679.918004
127	4677.281202
128	4673.84985
129	4670.967819
130	4668.873333
131	4664.210816
132	4662.125325
133	4659.788748
134	4653.545523
135	4649.749077
136	4644.464308
137	4641.363487
138	4637.851305
139	4634.335515
140	4629.879866
141	4628.41006
142	4626.955862
143	4622.053907
144	4617.837052
145	4615.8343
146	4610.491011
147	4608.4741
148	4603.888375
149	4598.891583
150	4596.693304
151	4595.500151
152	4591.767791
153	4587.960568
154	4584.515284
155	4582.025784
156	4577.530808
157	4571.365118
158	4568.037855
159	4566.606753
160	4565.382474
161	4562.789243
162	4559.442299
163	4556.879488
164	4553.284771
165	4550.916983
166	4549.226052
167	4545.585428
168	4541.741417
169	4540.436131
170	4538.831631
171	4536.821325
172	4533.718087
173	4531.184002
174	4527.398147
175	4524.532363
176	4521.919966
177	4519.382425
178	4517.931184
179	4516.202934
180	4513.021343
181	4509.490785
182	4504.603775
183	4502.234772
184	4500.363691
185	4495.939436
186	4490.817509
187	4488.830962
188	4485.201402
189	4482.135585
190	4480.840647
191	4478.822275
192	4474.652196
193	4473.560703
194	4470.75568
195	4468.341825
196	4465.684813
197	4462.944891
198	4457.605622
199	4456.388142
200	4453.518557
201	4452.048296
202	4451.249274
203	4448.588707
204	4447.68341
205	4446.749071
206	4445.542807
207	4444.68409
208	4443.012866
209	4438.219614
210	4435.764689
211	4434.74933
212	4431.736895
213	4430.18666
214	4428.586101
215	4426.196728
216	4420.748468
217	4417.692095
218	4416.71768
219	4415.688548
220	4413.946919
221	4412.229865
222	4408.857434
223	4407.653192
224	4402.744857
225	4399.890886
226	4396.534882
227	4395.044716
228	4393.632825
229	4390.445538
230	4387.594437
231	4384.779958
232	4380.354855
233	4378.216771
234	4377.245412
235	4374.879133
236	4373.544333
237	4372.618771
238	4369.384997
239	4366.98864
240	4364.917806
241	4363.377129
242	4360.947229
243	4359.193249
244	4357.093298
245	4356.457332
246	4353.535395
247	4349.637667
248	4347.336013
249	4346.442734
250	4342.949057
251	4340.780935
252	4339.392798
253	4337.855791
254	4337.016984
255	4336.235523
256	4334.511115
257	4331.410805
258	4328.308061
259	4326.394605
260	4323.06328
261	4320.859
262	4319.135428
263	4316.711957
264	4315.667278
265	4314.538072
266	4311.855718
267	4310.913545
268	4309.648969
269	4308.604184
270	4306.805718
271	4305.249218
272	4303.383174
273	4301.041602
274	4300.088017
275	4299.353642
276	4297.200108
277	4294.93956
278	4294.083533
279	4291.615927
280	4290.760321
281	4288.644636
282	4287.881002
283	4287.255125
284	4285.77386
285	4283.444053
286	4280.888901
287	4278.975282
288	4278.024796
289	4277.14492
290	4275.070763
291	4272.576382
292	4271.79028
293	4270.639151
294	4270.086367
295	4269.054682
296	4266.819538
297	4264.916254
298	4264.086537
299	4262.959888
300	4261.441588
