iter	Passed	Remaining
0	12	12756
1	22	11034
2	33	11184
3	44	11159
4	56	11234
5	67	11241
6	79	11296
7	91	11404
8	104	11482
9	116	11574
10	129	11650
11	141	11658
12	155	11787
13	168	11841
14	181	11923
15	194	11975
16	208	12051
17	216	11829
18	230	11877
19	244	11981
20	259	12084
21	273	12166
22	286	12187
23	300	12224
24	314	12273
25	329	12341
26	344	12403
27	358	12459
28	374	12555
29	390	12640
30	405	12678
31	422	12766
32	438	12842
33	455	12934
34	470	12985
35	487	13051
36	503	13093
37	518	13121
38	535	13193
39	553	13288
40	571	13372
41	588	13417
42	605	13466
43	621	13498
44	637	13532
45	653	13553
46	671	13609
47	688	13654
48	705	13697
49	723	13753
50	743	13831
51	760	13862
52	778	13916
53	796	13949
54	815	14005
55	832	14041
56	850	14074
57	869	14129
58	888	14167
59	905	14189
60	922	14206
61	942	14256
62	961	14301
63	979	14319
64	998	14360
65	1015	14375
66	1034	14400
67	1054	14446
68	1073	14477
69	1090	14492
70	1108	14502
71	1125	14510
72	1143	14522
73	1160	14526
74	1179	14547
75	1197	14560
76	1217	14594
77	1235	14605
78	1255	14631
79	1273	14650
80	1292	14663
81	1312	14694
82	1331	14711
83	1349	14717
84	1368	14726
85	1387	14744
86	1406	14756
87	1424	14765
88	1443	14776
89	1462	14783
90	1479	14774
91	1496	14773
92	1514	14774
93	1532	14769
94	1548	14750
95	1564	14735
96	1583	14737
97	1600	14727
98	1616	14708
99	1633	14703
100	1650	14694
101	1668	14687
102	1685	14674
103	1702	14670
104	1719	14654
105	1735	14634
106	1752	14623
107	1769	14616
108	1786	14603
109	1804	14599
110	1820	14581
111	1835	14556
112	1852	14542
113	1870	14534
114	1887	14526
115	1905	14521
116	1923	14519
117	1941	14513
118	1959	14506
119	1976	14492
120	1993	14481
121	2009	14461
122	2026	14449
123	2043	14439
124	2062	14438
125	2079	14427
126	2098	14423
127	2115	14409
128	2133	14403
129	2151	14397
130	2168	14387
131	2188	14390
132	2206	14382
133	2223	14370
134	2240	14353
135	2258	14345
136	2275	14331
137	2292	14317
138	2310	14314
139	2328	14305
140	2346	14295
141	2365	14290
142	2383	14283
143	2400	14267
144	2418	14257
145	2435	14246
146	2452	14228
147	2469	14216
148	2486	14199
149	2504	14191
150	2522	14183
151	2540	14172
152	2558	14162
153	2576	14153
154	2594	14142
155	2612	14135
156	2631	14127
157	2650	14122
158	2668	14114
159	2685	14097
160	2703	14089
161	2721	14078
162	2739	14069
163	2758	14061
164	2778	14059
165	2796	14049
166	2813	14035
167	2830	14018
168	2849	14008
169	2865	13990
170	2883	13977
171	2900	13962
172	2918	13951
173	2935	13935
174	2953	13924
175	2971	13912
176	2990	13903
177	3007	13890
178	3025	13879
179	3043	13866
180	3061	13852
181	3078	13836
182	3097	13830
183	3116	13822
184	3133	13803
185	3149	13784
186	3166	13768
187	3183	13750
188	3201	13737
189	3218	13722
190	3237	13713
191	3257	13708
192	3276	13698
193	3295	13690
194	3314	13681
195	3332	13670
196	3351	13660
197	3369	13647
198	3388	13638
199	3406	13627
200	3425	13616
201	3444	13608
202	3462	13593
203	3480	13580
204	3498	13567
205	3515	13550
206	3533	13536
207	3554	13534
208	3572	13522
209	3591	13509
210	3610	13499
211	3628	13487
212	3647	13477
213	3666	13465
214	3685	13456
215	3703	13444
216	3724	13437
217	3742	13424
218	3761	13415
219	3781	13405
220	3800	13396
221	3819	13385
222	3837	13372
223	3854	13354
224	3872	13337
225	3891	13326
226	3910	13316
227	3927	13298
228	3946	13287
229	3967	13281
230	3985	13267
231	4003	13254
232	4023	13245
233	4042	13231
234	4060	13219
235	4079	13205
236	4099	13198
237	4119	13189
238	4138	13177
239	4157	13163
240	4175	13149
241	4193	13133
242	4211	13120
243	4232	13112
244	4249	13096
245	4267	13080
246	4288	13073
247	4306	13058
248	4324	13043
249	4343	13029
250	4361	13013
251	4381	13005
252	4401	12996
253	4421	12985
254	4439	12970
255	4458	12958
256	4477	12946
257	4497	12934
258	4517	12923
259	4534	12907
260	4553	12892
261	4572	12880
262	4591	12866
263	4610	12853
264	4629	12840
265	4648	12825
266	4667	12814
267	4687	12804
268	4708	12795
269	4729	12786
270	4748	12774
271	4770	12767
272	4791	12759
273	4812	12750
274	4832	12739
275	4852	12728
276	4874	12722
277	4894	12710
278	4914	12699
279	4935	12690
280	4955	12678
281	4974	12666
282	4996	12658
283	5017	12650
284	5037	12638
285	5057	12624
286	5079	12620
287	5101	12611
288	5120	12597
289	5141	12588
290	5162	12577
291	5183	12567
292	5202	12554
293	5221	12539
294	5241	12526
295	5262	12516
296	5284	12508
297	5304	12496
298	5325	12486
299	5346	12475
300	5367	12463
301	5385	12447
302	5405	12434
303	5427	12426
304	5448	12416
305	5469	12403
306	5488	12388
307	5510	12379
308	5532	12371
309	5551	12357
310	5571	12344
311	5593	12334
312	5612	12319
313	5633	12307
314	5652	12291
315	5672	12279
316	5692	12265
317	5713	12253
318	5734	12242
319	5755	12231
320	5778	12222
321	5799	12211
322	5820	12198
323	5842	12190
324	5864	12180
325	5885	12168
326	5906	12155
327	5928	12145
328	5948	12131
329	5970	12122
330	5992	12111
331	6012	12098
332	6035	12089
333	6058	12081
334	6081	12071
335	6101	12057
336	6123	12047
337	6144	12035
338	6167	12026
339	6188	12012
340	6209	12000
341	6230	11987
342	6252	11977
343	6274	11965
344	6297	11955
345	6319	11944
346	6339	11930
347	6359	11914
348	6378	11897
349	6397	11880
350	6416	11864
351	6436	11849
352	6456	11834
353	6476	11818
354	6496	11804
355	6517	11790
356	6535	11770
357	6554	11753
358	6573	11736
359	6592	11719
360	6612	11704
361	6631	11686
362	6648	11667
363	6667	11650
364	6687	11634
365	6707	11619
366	6727	11603
367	6747	11588
368	6765	11569
369	6784	11551
370	6803	11535
371	6823	11518
372	6843	11503
373	6860	11483
374	6880	11467
375	6898	11449
376	6917	11430
377	6937	11415
378	6956	11398
379	6976	11382
380	6996	11367
381	7014	11348
382	7033	11331
383	7054	11317
384	7073	11299
385	7092	11282
386	7111	11264
387	7130	11246
388	7149	11229
389	7169	11213
390	7188	11195
391	7208	11179
392	7227	11162
393	7246	11145
394	7266	11129
395	7284	11111
396	7302	11092
397	7323	11077
398	7342	11059
399	7362	11043
400	7381	11026
401	7399	11006
402	7418	10989
403	7436	10970
404	7455	10953
405	7475	10937
406	7494	10919
407	7513	10901
408	7530	10882
409	7549	10864
410	7569	10848
411	7590	10832
412	7609	10814
413	7629	10799
414	7648	10781
415	7667	10763
416	7687	10747
417	7707	10731
418	7725	10713
419	7743	10692
420	7761	10674
421	7780	10656
422	7800	10640
423	7820	10623
424	7841	10608
425	7860	10591
426	7881	10576
427	7900	10558
428	7919	10540
429	7939	10523
430	7957	10505
431	7974	10485
432	7995	10469
433	8015	10453
434	8036	10438
435	8055	10420
436	8074	10402
437	8094	10386
438	8113	10368
439	8132	10350
440	8153	10334
441	8171	10315
442	8191	10299
443	8210	10281
444	8231	10266
445	8249	10247
446	8267	10228
447	8286	10209
448	8305	10192
449	8324	10174
450	8344	10157
451	8363	10139
452	8381	10120
453	8400	10103
454	8420	10086
455	8440	10068
456	8458	10050
457	8477	10031
458	8495	10013
459	8515	9995
460	8534	9978
461	8553	9960
462	8570	9940
463	8588	9921
464	8608	9904
465	8626	9885
466	8645	9867
467	8666	9851
468	8686	9834
469	8706	9817
470	8725	9800
471	8743	9780
472	8762	9762
473	8781	9744
474	8799	9725
475	8819	9708
476	8838	9690
477	8856	9671
478	8874	9652
479	8891	9632
480	8910	9614
481	8927	9594
482	8945	9575
483	8963	9555
484	8981	9537
485	9000	9519
486	9019	9501
487	9039	9484
488	9058	9465
489	9076	9446
490	9095	9428
491	9114	9410
492	9132	9392
493	9151	9373
494	9171	9356
495	9189	9338
496	9207	9318
497	9227	9301
498	9246	9284
499	9266	9266
500	9284	9247
501	9304	9230
502	9321	9210
503	9340	9192
504	9359	9173
505	9378	9156
506	9396	9137
507	9415	9119
508	9433	9100
509	9451	9080
510	9469	9062
511	9488	9043
512	9508	9026
513	9526	9007
514	9546	8990
515	9565	8971
516	9586	8956
517	9605	8937
518	9624	8919
519	9642	8900
520	9660	8882
521	9681	8864
522	9701	8848
523	9721	8831
524	9740	8813
525	9760	8795
526	9778	8776
527	9799	8760
528	9819	8742
529	9837	8723
530	9856	8706
531	9875	8687
532	9895	8670
533	9914	8652
534	9931	8631
535	9949	8613
536	9968	8594
537	9987	8576
538	10008	8559
539	10026	8541
540	10045	8522
541	10064	8505
542	10083	8486
543	10102	8468
544	10122	8450
545	10142	8433
546	10161	8415
547	10180	8397
548	10200	8379
549	10218	8360
550	10237	8342
551	10256	8324
552	10275	8306
553	10294	8287
554	10313	8269
555	10332	8250
556	10351	8232
557	10369	8213
558	10387	8194
559	10405	8176
560	10424	8157
561	10443	8139
562	10463	8121
563	10483	8104
564	10501	8085
565	10521	8068
566	10540	8049
567	10558	8030
568	10577	8012
569	10596	7993
570	10616	7976
571	10635	7958
572	10656	7940
573	10675	7922
574	10695	7905
575	10713	7886
576	10732	7867
577	10750	7848
578	10769	7830
579	10788	7812
580	10808	7794
581	10827	7776
582	10847	7758
583	10866	7740
584	10886	7722
585	10905	7704
586	10923	7685
587	10943	7667
588	10962	7649
589	10981	7631
590	11001	7613
591	11020	7594
592	11039	7576
593	11057	7557
594	11076	7539
595	11095	7521
596	11115	7503
597	11134	7484
598	11152	7466
599	11171	7447
600	11190	7429
601	11209	7410
602	11227	7391
603	11246	7373
604	11265	7354
605	11285	7337
606	11305	7319
607	11324	7301
608	11342	7282
609	11360	7263
610	11379	7245
611	11398	7226
612	11417	7208
613	11435	7189
614	11453	7170
615	11474	7152
616	11495	7135
617	11515	7118
618	11535	7100
619	11554	7081
620	11573	7063
621	11593	7045
622	11612	7027
623	11631	7008
624	11651	6991
625	11671	6972
626	11690	6954
627	11708	6935
628	11729	6918
629	11747	6899
630	11767	6881
631	11786	6862
632	11805	6844
633	11826	6827
634	11845	6809
635	11865	6790
636	11885	6772
637	11904	6754
638	11923	6735
639	11942	6717
640	11961	6698
641	11980	6680
642	11999	6662
643	12018	6643
644	12038	6625
645	12057	6607
646	12076	6589
647	12096	6570
648	12115	6552
649	12134	6533
650	12152	6514
651	12171	6496
652	12191	6478
653	12211	6460
654	12229	6441
655	12249	6423
656	12268	6405
657	12288	6386
658	12306	6368
659	12323	6348
660	12343	6330
661	12362	6311
662	12381	6293
663	12401	6275
664	12420	6256
665	12437	6237
666	12457	6219
667	12477	6201
668	12498	6183
669	12516	6164
670	12534	6145
671	12554	6127
672	12570	6107
673	12589	6089
674	12606	6069
675	12625	6051
676	12644	6032
677	12662	6013
678	12680	5994
679	12699	5976
680	12717	5957
681	12735	5938
682	12754	5919
683	12774	5901
684	12791	5882
685	12808	5862
686	12827	5844
687	12845	5825
688	12863	5806
689	12882	5787
690	12901	5769
691	12919	5750
692	12936	5730
693	12955	5712
694	12974	5693
695	12993	5675
696	13011	5656
697	13029	5637
698	13048	5618
699	13067	5600
700	13084	5581
701	13104	5562
702	13123	5544
703	13142	5525
704	13161	5507
705	13179	5488
706	13198	5469
707	13216	5450
708	13232	5431
709	13250	5412
710	13269	5393
711	13287	5374
712	13306	5355
713	13324	5337
714	13341	5317
715	13361	5299
716	13381	5281
717	13399	5262
718	13418	5244
719	13437	5225
720	13456	5207
721	13474	5188
722	13492	5169
723	13510	5150
724	13529	5131
725	13549	5113
726	13568	5095
727	13588	5077
728	13607	5058
729	13628	5040
730	13645	5021
731	13665	5003
732	13684	4984
733	13702	4965
734	13722	4947
735	13740	4928
736	13759	4910
737	13779	4891
738	13799	4873
739	13818	4855
740	13837	4836
741	13857	4818
742	13876	4799
743	13896	4781
744	13915	4762
745	13934	4744
746	13953	4725
747	13973	4707
748	13993	4689
749	14013	4671
750	14031	4652
751	14050	4633
752	14069	4614
753	14087	4596
754	14106	4577
755	14126	4559
756	14144	4540
757	14163	4521
758	14181	4502
759	14199	4483
760	14218	4465
761	14239	4447
762	14257	4428
763	14276	4410
764	14296	4391
765	14313	4372
766	14333	4354
767	14351	4335
768	14370	4316
769	14390	4298
770	14408	4279
771	14427	4261
772	14447	4242
773	14466	4223
774	14485	4205
775	14505	4187
776	14523	4168
777	14542	4149
778	14560	4130
779	14579	4112
780	14599	4093
781	14618	4075
782	14637	4056
783	14655	4037
784	14673	4018
785	14690	3999
786	14708	3980
787	14727	3962
788	14745	3943
789	14764	3924
790	14782	3905
791	14799	3886
792	14818	3868
793	14836	3849
794	14854	3830
795	14873	3811
796	14892	3793
797	14910	3774
798	14929	3755
799	14949	3737
800	14966	3718
801	14984	3699
802	15002	3680
803	15021	3661
804	15040	3643
805	15061	3625
806	15080	3606
807	15099	3587
808	15117	3569
809	15136	3550
810	15156	3532
811	15174	3513
812	15193	3494
813	15211	3475
814	15228	3456
815	15247	3438
816	15264	3419
817	15283	3400
818	15301	3381
819	15319	3362
820	15337	3343
821	15356	3325
822	15376	3306
823	15396	3288
824	15414	3269
825	15434	3251
826	15453	3232
827	15471	3213
828	15491	3195
829	15510	3176
830	15530	3158
831	15547	3139
832	15565	3120
833	15584	3101
834	15602	3083
835	15622	3064
836	15643	3046
837	15661	3027
838	15679	3008
839	15698	2990
840	15718	2971
841	15738	2953
842	15756	2934
843	15776	2915
844	15795	2897
845	15815	2878
846	15834	2860
847	15853	2841
848	15873	2823
849	15892	2804
850	15911	2785
851	15931	2767
852	15951	2748
853	15971	2730
854	15989	2711
855	16008	2692
856	16027	2674
857	16047	2655
858	16066	2637
859	16084	2618
860	16103	2599
861	16124	2581
862	16143	2562
863	16162	2544
864	16181	2525
865	16200	2506
866	16219	2488
867	16237	2469
868	16256	2450
869	16274	2431
870	16292	2413
871	16311	2394
872	16332	2375
873	16351	2357
874	16370	2338
875	16390	2320
876	16408	2301
877	16427	2282
878	16446	2263
879	16465	2245
880	16483	2226
881	16503	2207
882	16523	2189
883	16543	2170
884	16561	2152
885	16580	2133
886	16600	2114
887	16619	2096
888	16638	2077
889	16659	2059
890	16678	2040
891	16697	2021
892	16716	2002
893	16734	1984
894	16753	1965
895	16773	1946
896	16792	1928
897	16812	1909
898	16830	1890
899	16850	1872
900	16870	1853
901	16888	1834
902	16907	1816
903	16925	1797
904	16944	1778
905	16964	1760
906	16983	1741
907	17002	1722
908	17022	1704
909	17041	1685
910	17062	1666
911	17082	1648
912	17100	1629
913	17120	1610
914	17139	1592
915	17162	1573
916	17180	1555
917	17199	1536
918	17217	1517
919	17236	1498
920	17255	1480
921	17274	1461
922	17293	1442
923	17311	1423
924	17330	1405
925	17350	1386
926	17368	1367
927	17388	1349
928	17408	1330
929	17428	1311
930	17448	1293
931	17466	1274
932	17484	1255
933	17503	1236
934	17522	1218
935	17542	1199
936	17562	1180
937	17580	1162
938	17600	1143
939	17618	1124
940	17636	1105
941	17656	1087
942	17676	1068
943	17694	1049
944	17715	1031
945	17735	1012
946	17753	993
947	17771	974
948	17791	956
949	17810	937
950	17829	918
951	17847	899
952	17866	881
953	17885	862
954	17906	843
955	17925	825
956	17945	806
957	17965	787
958	17984	768
959	18004	750
960	18023	731
961	18041	712
962	18060	693
963	18080	675
964	18099	656
965	18117	637
966	18136	618
967	18156	600
968	18174	581
969	18194	562
970	18216	544
971	18236	525
972	18256	506
973	18275	487
974	18293	469
975	18311	450
976	18330	431
977	18348	412
978	18367	393
979	18388	375
980	18407	356
981	18426	337
982	18446	319
983	18465	300
984	18485	281
985	18503	262
986	18522	243
987	18542	225
988	18560	206
989	18578	187
990	18598	168
991	18616	150
992	18635	131
993	18654	112
994	18673	93
995	18692	75
996	18711	56
997	18730	37
998	18750	18
999	18770	0
